"No.","Time","Source","Destination","Protocol","Length","Info","Source MAC","Dest MAC","802.11 Type","802.11 Subtype","UDP Length","Frame Length","Hw src addr res","data.data"
"29","3.084498","192.168.43.20","180.76.76.200","TCP","74","46969  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3499065 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"30","3.243075","192.168.43.20","192.168.43.1","UDP","46","16734  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"31","3.245247","192.168.43.1","192.168.43.20","UDP","46","40611  >  16734 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"32","3.245594","192.168.43.20","192.168.43.1","UDP","46","16734  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"33","3.247948","192.168.43.1","192.168.43.20","UDP","46","40611  >  16734 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"34","4.053314","192.168.43.20","192.168.43.1","UDP","95","16734  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0f:41:52:54:45:4d:49:53:00:02:00:00:00:09:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"35","4.063233","192.168.43.20","192.168.43.1","UDP","95","16734  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0f:41:52:54:45:4d:49:53:00:02:00:00:00:09:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"36","4.065333","192.168.43.1","192.168.43.20","UDP","52","40611  >  16734 Len=10","","","","","18","52","VLinkTechnol_7e:5d:bd","f1:d1:00:06:d1:00:00:01:00:0f"
"37","4.085166","192.168.43.1","192.168.43.20","UDP","52","40611  >  16734 Len=10","","","","","18","52","VLinkTechnol_7e:5d:bd","f1:d1:00:06:d1:00:00:01:00:0f"
"38","4.086405","192.168.43.20","180.76.76.200","TCP","74","[TCP Retransmission] 46969  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3499366 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"39","4.656145","192.168.43.20","192.168.43.1","UDP","159","16734  >  40611 Len=117","","","","","125","159","LGElectronic_4a:ec:64","f1:d0:00:71:d1:00:00:10:41:52:54:45:4d:49:53:00:02:00:00:00:26:00:00:00:59:00:00:00:39:30:52:48:30:4d:67:34:50:4d:66:66:59:49:31:66:41:43:79:63:64:50:44:46:76:4b:52:56:2f:32:32:79:65:69:5a:6f:44:50:4b:52:46:63:79:47:30:6a:48:37:6d:6b:5a:43:45:31:36:75:63:78:57:63:47:41:6f:33:68:74:52:41:31:67:62:45:64:33:78:39:74:30:67:49:34:34:45:47:64:41:3d:3d:00"
"40","4.666569","192.168.43.20","192.168.43.1","UDP","159","16734  >  40611 Len=117","","","","","125","159","LGElectronic_4a:ec:64","f1:d0:00:71:d1:00:00:10:41:52:54:45:4d:49:53:00:02:00:00:00:26:00:00:00:59:00:00:00:39:30:52:48:30:4d:67:34:50:4d:66:66:59:49:31:66:41:43:79:63:64:50:44:46:76:4b:52:56:2f:32:32:79:65:69:5a:6f:44:50:4b:52:46:63:79:47:30:6a:48:37:6d:6b:5a:43:45:31:36:75:63:78:57:63:47:41:6f:33:68:74:52:41:31:67:62:45:64:33:78:39:74:30:67:49:34:34:45:47:64:41:3d:3d:00"
"41","4.674375","192.168.43.20","192.168.43.1","UDP","159","16734  >  40611 Len=117","","","","","125","159","LGElectronic_4a:ec:64","f1:d0:00:71:d1:00:00:10:41:52:54:45:4d:49:53:00:02:00:00:00:26:00:00:00:59:00:00:00:39:30:52:48:30:4d:67:34:50:4d:66:66:59:49:31:66:41:43:79:63:64:50:44:46:76:4b:52:56:2f:32:32:79:65:69:5a:6f:44:50:4b:52:46:63:79:47:30:6a:48:37:6d:6b:5a:43:45:31:36:75:63:78:57:63:47:41:6f:33:68:74:52:41:31:67:62:45:64:33:78:39:74:30:67:49:34:34:45:47:64:41:3d:3d:00"
"42","4.676428","192.168.43.1","192.168.43.20","UDP","52","40611  >  16734 Len=10","","","","","18","52","VLinkTechnol_7e:5d:bd","f1:d1:00:06:d1:00:00:01:00:10"
"43","4.676932","192.168.43.1","192.168.43.20","UDP","52","40611  >  16734 Len=10","","","","","18","52","VLinkTechnol_7e:5d:bd","f1:d1:00:06:d1:00:00:01:00:10"
"44","4.699879","192.168.43.1","192.168.43.20","UDP","52","40611  >  16734 Len=10","","","","","18","52","VLinkTechnol_7e:5d:bd","f1:d1:00:06:d1:00:00:01:00:10"
"45","5.089910","192.168.43.20","180.76.76.200","TCP","74","46970  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3499666 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"46","5.739037","192.168.43.20","192.168.43.1","UDP","46","16734  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"47","5.747755","192.168.43.1","192.168.43.20","UDP","46","40611  >  16734 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"48","5.748085","192.168.43.20","192.168.43.1","UDP","46","16734  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"49","5.750284","192.168.43.1","192.168.43.20","UDP","46","40611  >  16734 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"50","6.093483","192.168.43.20","180.76.76.200","TCP","74","[TCP Retransmission] 46970  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3499968 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
