"No.","Time","Source","Destination","Protocol","Length","Info","Source MAC","Dest MAC","802.11 Type","802.11 Subtype","UDP Length","Frame Length","Hw src addr res","data.data"
"81","14.035744","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0e:41:52:54:45:4d:49:53:00:02:00:00:00:08:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"82","14.062555","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0e:41:52:54:45:4d:49:53:00:02:00:00:00:08:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
"83","14.064907","192.168.43.1","192.168.43.20","UDP","52","40611  >  22704 Len=10","","","","","18","52","VLinkTechnol_7e:5d:bd","f1:d1:00:06:d1:00:00:01:00:0e"
"84","14.081779","192.168.43.1","192.168.43.20","UDP","52","40611  >  22704 Len=10","","","","","18","52","VLinkTechnol_7e:5d:bd","f1:d1:00:06:d1:00:00:01:00:0e"
"85","14.088289","192.168.43.20","180.76.76.200","TCP","74","47027  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3740061 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"86","15.092277","192.168.43.20","180.76.76.200","TCP","74","[TCP Retransmission] 47027  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3740363 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"87","15.113538","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"88","15.115001","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"89","15.139771","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"90","15.174601","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"91","16.108775","192.168.43.20","180.76.76.200","TCP","74","47028  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3740668 TSecr=0 WS=256","","","","","","74","LGElectronic_4a:ec:64",""
"92","16.184083","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e0:00:00"
"93","16.205239","VLinkTechnol_7e:5d:bd","LGElectronic_4a:ec:64","ARP","42","Who has 192.168.43.20? Tell 192.168.43.1","","","","","","42","VLinkTechnol_7e:5d:bd",""
"94","16.205540","LGElectronic_4a:ec:64","VLinkTechnol_7e:5d:bd","ARP","42","192.168.43.20 is at 64:bc:0c:4a:ec:64","","","","","","42","LGElectronic_4a:ec:64",""
"95","16.205312","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e0:00:00"
"96","16.205774","192.168.43.1","192.168.43.20","UDP","46","40611  >  22704 Len=4","","","","","12","46","VLinkTechnol_7e:5d:bd","f1:e1:00:00"
"97","16.206419","192.168.43.20","192.168.43.1","UDP","46","22704  >  40611 Len=4","","","","","12","46","LGElectronic_4a:ec:64","f1:e1:00:00"
"98","17.063673","192.168.43.20","192.168.43.1","UDP","95","22704  >  40611 Len=53","","","","","61","95","LGElectronic_4a:ec:64","f1:d0:00:31:d1:00:00:0f:41:52:54:45:4d:49:53:00:02:00:00:00:09:00:01:00:19:00:00:00:4d:7a:6c:42:33:36:58:2f:49:56:6f:38:5a:7a:49:35:72:47:39:6a:31:77:3d:3d:00"
